96;Медицинский центр ГРАНДМЕДИКА;Минск;ул.Богдановича,78, 5 подъезд (вход со двора);+375 29 169-75-17|+375 17 334-86-44|+375 17 334-77-91;http://grandmedica.by/;grandmedica@mail.ru;
97;Медицинский центр ТЕРРА-МЕДИКА;Минск;ул.Волгоградская,3-1Н;+375 17 267-14-78|+375 29 6641478;http://terramedika.by/;;
99;Медицинский центр ТЕРРА-МЕДИКА;Минск;ул.Руссиянова,36;+375 17 264-12-15|+375 29 6801215;http://terramedika.by/;;
100;Медицинский центр ТЕРРА-МЕДИКА;Минск;пер.Чорного,3-3Н;+375 17 280-01-45|+375 29 6860145;http://terramedika.by/;;
120;Стоматология ИРПОЛ;Минск;ул.Богдановича,78;+375 17 334-41-95|+375 29 339-98-33;http://irpol.by/;irpol.minsk@gmail.com;
121;Центр эстетической дерматологии САЛВЭ;Минск;ул.Одоевского,28;+375 17 240-08-25|+375 29 604-08-25|+375 29 560-08-25;;salveslav@tut.by;
129;Медицинский центр АСМЕДСЕРВИС;Минск;ул.Первомайская,22 корп.1;+375 17 285-39-31|+375 17 294-39-41|+375 29 616-39-41;;asmedservis1@gmail.com;
130;Медицинский центр ВИТА-АРТ;Минск;ул.Купалы,7;+375 17 327-11-74;http://vita-art.tilda.ws/;;
132;Медицинский центр ЕВРОМЕД;Минск;ул.Руссиянова,8;+375 17 288-81-98|+375 29 130-30-05;http://belevromed.by/;apoptos@gmail.com;
137;Медицинский центр ТОТАЛМЕД;Минск;ул.Комсомольская,18;+375 17 226-13-69|+375 17 327-61-61;;totalmed@tut.by;
147;Стоматология АДИПЛЮС;Минск;ул.Жуковского,29;+375 17 219-76-15|+375 29 619-73-15|+375 29 275-11-55;;;
148;Стоматология ДАНТИСТ;Минск;Максима Богдановича ул., 153/В-330;+375 29 665?46-43|+375 17 202?01-51;;dantist@tut.by;
164;Стоматология БелТамо;Минск;ул.Кальварийская,5;+375 17 366-48-08|+375 17 362-50-47;;irina-novik_2007@tut.by;
166;Центр коррекции слуха;Минск;ул.Богдановича,62;+375 17 237?80-96|+375 29 177?11-59;;centersluha@mail.ru;
167;Стоматология ПОЛИСЕРВИС;Минск;пр.Независимости,67;+375 17 292-80-05;;polyservice2011@yandex.by;
170;Стоматология ЛЕДИ ЧИЗ;Минск;ул.Судмалиса,22;+375 17 246-91-91|+375 17 298-22-44|+375 44 598-22-44;http://ladycheese.by/;mail@ladycheese.by;
177;Стоматология ГЕРМАМЕД;Минск;ул.Руссиянова,8;+375 17 287-05-07;;;
183;Стоматология ДЕНТЛЭНД;Минск;ул.Богдановича,116-7Н;+375 17 268-06-56|+375 29 705 40 93|+375 29 121 46 87;;dentland@tut.by;
186;Стоматология ДЕНТ-ПЛЮС;Минск;ул.Филимонова,53;+375 17 263?02-75|+375 17 369?76-64|+375 29 620?61-43|+375 33 666?81-39;;shusha76@tut.by;
187;Стоматология МЕДИКОП;Минск;ул.Волгоградкая,12;+375 17 263-57-79|+375 29 163-57-79;;;
191;"Стоматология ""Вилдент""";Минск;ул.Есенина,64;+375 17 376-40-99|+375 29 676-40-99;;info@vildent.by;
193;Медицинский центр ФАРТИМЕД;Минск;ул.Я.Чечота,42;+375 29 671-78-20|+375 17 372-14-14;;fartimed@mail.ru;
195;Стоматология ФОРМИКА-ПЛЮС;Минск;пр.Независимости,155/1;+375 17 263-59-39;;;
196;Медицинский центр АГУРА;Минск;ул.Сурганова,18;+375 17 237-38-94;;;
197;Стоматология ЛАБОРАТОРИЯ ЗДОРОВЬЯ;Минск;Пр-кт газеты Звезда,47 каб.211;+375 17 272-24-97;;;
204;Стоматология ВЕСТСЕРВИСИНСТРУМЕНТ;Минск;ул.Заславская,17-1А;+375 17 200-25-68|+375 29 311-25-68|+375 29 777-25-68;;;
210;Стоматология СМАЙЛ СИТИ;Минск;ул.Бельского,2;+375 17 254-79-62|+375 29 657-26-67;;;
213;Стоматология ОРИСПРОФИ;Минск;Пр-кт Рокоссовского,4/2;+375 17 214-52-79;;;
215;Стоматология ФОРМИКА-СЕРВИС;Минск;ул.Я.Коласа,40;+375 17 280-00-55|+375 29 313-97-31|+375 29 262-39-74;;;
229;Стоматология ГЛОРИЯ;Минск;ул.Есенина,10;+375 17 270-10-06;;;
234;Профессорско-консультативный лечебно-диагностический центр;Витебск;ул.Горовца,6;+375 212 36-00-80|+375 29 344-66-03|+375 29 297-68-53;;;
249;Стоматология ДАНТИСТ;Гомель;ул.Советская,126;+375 232 57-57-58|+375 29 337-57-58|+375 33 353-57-58;;;
252;Стоматология УЛЫБКА СЕРВИС;Гомель;ул.60 лет СССР,15;+375 232 22-22-55|+375 44 704-25-48;http://smile132.by/;ulibka132@rambler.ru;
253;Стоматология ИДЕАЛ-ДЕНТАЛЬ;Гомель;ул.Советская,39;+375 232 71-55-53|+375 29 337-37-29;http://idental.by/;;
254;Стоматология ЕВВА-ДЕНТ;Гомель;ул.Ильича,34;+375 232 37-51-92;;;
255;Стоматология СТОМА-ЛЮКС;Гомель;ул.Междугородняя,4;+375 232 46-03-73|+375 29 123-44-00;;stoma-lux@mail.ru;
256;Стоматология ЛАДЕНТ;Гомель;ул.Книжная,9;+375 232 77-46-74;;;
257;Стоматология ДОБРЫЙ СТОМАТОЛОГ;Гомель;ул.Кирова,123;+375 232 58-65-00|+375 44 758-65-00;;586500@tut.by;
258;Стоматология ЕВВА-ДЕНТ;Гомель;ул.Советская,60;+375 232 57-12-44;;;
259;Стоматология 32 БОГАТЫРЯ;Гомель;ул.Крестьянская,19;+375 232 74-10-43|+375 44 719-16-31;;32zubapllus@mail.ru;
260;Стоматология 32 БОГАТЫРЯ;Гомель;ул.Интернациональная,10А;+375 232 75 49 48;;32zubapllus@mail.ru;
263;Медицинский центр НОВОЕ ЗРЕНИЕ;Гродно;ул.Социалистическая,32;+375 152- 73-04-43|+375 152- 73-04-44;www.eyes.by;zreniegrodno@yandex.ru;
267;Стоматология АСКЛЕПИЙ;Гродно;ул.Маркса,36/1;+375 152 75-63-64|+375 152 75-53-53;;dentartik@tut.by;
268;Стоматология РЕМ ДЕНТ;Гродно;ул.Титова,12;+375 152 52-06-51;;;
269;Стоматология АСКЛЕПИЙ;Гродно;ул.Дзержинского,35/1;+375 152 74-28-10;;dentartik@tut.by;
271;Стоматология АЛЕФКОМ;Гродно;ул.Николаева,24;+375 152 52-44-42;;alefkom@tut.by;
272;Стоматология ШУНГИТ;Гродно;ул.Горького,82;+375 152 48-27-91;;;
274;Стоматология ГЕОРАН;Гродно;пр.Космонавтов,2/1 (2 этаж);+375 152 75-20-19;;;
275;Стоматология ДЕНС;Гродно;ул.Дзержинского,2/1;+375 152 72-20-57;;mododens@yandex.ru;
276;Стоматология ДЕНТАРИУМ;Гродно;ул.Курчатова,9;+375 152 43-06-01;;;
277;Стоматология СТОМИС;Гродно;ул.Томина,14/2;+375 152 51-22-38;;tanya_hoteleva@mail.ru;
283;Медицинский центр УЛЫБКА ПЛЮС;Брест;ул.Халтурина,2/1;+375 162 21-98-68;;;
284;Лечебно-консультативный центр МЕДЛАЙН;Брест;ул.Советская,104/1;+375 162 20-46-63|+375 29 722-93-91;;;
285;Кабинет традиционной медицины;Брест;бульвар Космонавтов,120;+375 162 46-24-39;;;
286;Медицинский центр БЕЛМИКОФ ПЛЮС;Брест;ул.Кирова,86;+375 162 21-89-11|+375 33 671-69-64;;bmplus.brest@rambler.ru;
287;Медицинский центр ВИТА ПЛЮС;Брест;ул.Кирова,16;+375 162 23-48-28|+375 29 725-50-15|+375 29 394-34-30;;belintervita@mail.ru;
288;Стоматология ДЕНТПРЕСТИЖ;Брест;ул.Советской Конституции,1;+375 162 40-93-35;;;
289;Стоматология КОЛЕДЕНТ;Брест;ул.Халтурина,31;+375 162 20-99-88;;koleDENT@rambler.ru;
290;Стоматология ЛАЙК ДЕНТ;Брест;пр.Машерова,17;+375 162 22-10-81;;;
291;Стоматология ЛАРА ДЕНТ;Брест;пр.Машерова,18;+375 162 23-80-60|+375 33 605-75-63;;laradent@bk.ru;
294;Стоматология АЛВИЗА;Брест;ул.Маяковского,17/3;+375 162 21-99-22;;;
295;Стоматология ДЕНТА ВИК;Брест;ул.Луцкая,46;+375 29 722-71-20;;;
296;Медицинский центр ЛЮВЕНА;Могилев;ул.Сурганова,10;+375 222 27-57-95|+375 25 603-57-95;;luvena2003@mail.ru;
299;Медицинский центр МЕДИЦИНСКАЯ КОМПАНИЯ;Могилев;ул.Пионерская,29;+375 222 22-30-98;;medcompany2m@mail.ru;
301;Стоматология ЖЕМЧУЖИНА-ДЕНТ;Могилев;пер.Березовский,5;+375 222 73-66-66|+375 222 70-05-07|+375 29 740-70-70|+375 29 333-18-93;;alla-cme@mail.ru;
303;Стоматология ВИТА-ДЕНТ;Могилев;ул.Пионерская,48;+375 222 22-86-67;;;
304;Стоматология ДОКТОР-ДЕНТ;Могилев;Пр-т Витебский,41;+375 222 42-99-95;;;
307;"Стоматология ""УмкаБелМед""";Минск;пр. Машерова 9, каб 106.;"+375 44 797-70-80|+375 17 290-70-80|""Факс"" +375 17 293-17-99 ";;umkabelmed@mail.ru;
311;"Стоматология ""Деминс""";Минск;ул. Неманская, д.33;+375 29-155-74-01|+375 29 758-07-27;;tafejko@mail.ru;
317;Клиника Айболита (для тестирования);Минск;ул.Гусовского д.4;+375 029 333-33-33;;vuslav777@yandex.ru;
366;Стоматология Дент-Актив;Минск;ул. Карастояновой, 29;+375 29 6639251|+375 33 6635251;;dent.aktiv@yahoo.com;
390;Гомельская городская клиническая больница № 1;Гомель;ул. Н. Дворникова, 80;"+375 232 54-63-35|+375 232 54-33-43|+375 232 54-01-25|+375 232  54-26-54|""Факс"" +375 232  54-06-68";;GGKB1@mail.ru;
395;32 богатыря плюс;Гомель;ул. Крестьянская, 19;+375 232 74-10-43|+375 44 719-16-31;;;
396;Денталь АС;Гомель;ул. Рабочая 4а;+375 232 54-66-75;;;
403;Витебский областной центр коррекционно-развивающего обучения и реабилитации;Витебск;ул.Ленинградская, 39;+375 212 35-37-92|+375 212 36-92-23;;vog-ckroir@yandex.by;
404;Стоматология;Витебск;ул.Правды, 43 (территория ГУО «Средняя школа № 28 г.Витебска», вход со стороны ул.Офицерской);+375 29 249-74-95 +375 29 635-03-72;;;
406;Стоматология;Витебск;пр.Победы, 17-пом. 5Н;+375 29 513-0-513|+375-29 6-500-569;;;
407;Косметология;Витебск;"ул.Комсомольская, 11/5, каб. 13 (вход в реабилитационно-оздоровительный центр ""Губернский"")";+375 29 624-99-97;;;
408;Наркология;Витебск;ул.Замковая, 4-3,каб.317 (вход со стороны банка БелВЭБ);+375 29 892-94-09;;;
409;Стоматология;Витебск;пр.Московский, 46;+375 29 664-15-37|+375 29 519-70-96;;;
410;Областная гомеопатическая амбулатория;Витебск;пр.Московский, 43а;+375 212 58-33-37;;homeopat.vit@mail.ru;
411;"Косметологический центр красоты "" ТиАмо""";Витебск;"пр.Московский, 86, 2 этаж (универсам ""Рублевский"")";+375 212 27-68-40|+375 33 324-30-84;;;
415;"Центр лазерной медицины ""Балтер""";Витебск;пр.Победы, д.3;+375 212 57 -13-00|+375 29 291-13-00;;balter7@rambler.ru;
417;"Стоматология ""Денс-003""";Витебск;ул.Кирова, 13/19;+375 212 365-374|+375 29 353-34-55|+375 33 649-48-06;;kill2121@mail.ru;
419;"Стоматологический центр ""Дента""";Витебск;ул.Воинов Интернационалистов, 7;+375 212 25-00-79;;;
420;"Стоматологический центр ""Дента""";Витебск;ул.Чкалова, 50/1;+375 212 25 09 79|+375 212 25-37-87;;;
445;Медея;Гомель;ул.Советская, 57;+375 232 58-13-10|+375 29 357-43-00;;;
449;Медицинский центр ЭХОМЕД;Гомель;ул. Кирова 35;+375 232 77-37-59;;;
450;Поликлиника № 7;Гомель;ул.Педченко , 10а;"+375 232 74-57-77|+375 232 74-97-59|+375 232 74-97-65,|""Платные услуги"" +375 232 75-02-04";http://www.poliklinika7.by/;;
451;Ильмарин;Гомель;Речицкое шоссе, 105;+375 232 45-78-91|+375 29 133-32-28|+375 29 8-333-600;;;
454;Гомельская городская поликлиника № 1;Гомель;ул.Ильича, 286а;"+375 232 39-36-74|+375 232 37-76-72|""Факс"" +375 232 37-78-05";;ggp1-glav@nostra.by;
455;Гомельская центральная городская детская поликлиника;Гомель;ул. Ландышева, д. 22;"+375 232  57-38-97|+375 232 60-17-74|""Факс""+375 232 60-57-81|+375 232 60-34-68";;gcgdp_glav@mail.gomel.by;
456;Гомельская центральная городская стоматологическая поликлиника;Гомель;ул.Клермон-Ферран, 5;"""РЕГИСТРАТУРА"" +375 232 40-84-08|""ФАКС"" +375 232 40-88-53 ";http://gcgsp.by/;gcgsp@tut.by;
457;Магия улыбки нью;Гомель;ул. Брестская, 6;+375 232 47-96-96;;magnew@tut.by;
459;"Стоматология ""MagicArt""";Минск;ул.Неманская, 4;+375 17 390-40-48|+375 29 391-40-48;https://magicart.by/;6079004@tut.by;
464;Стоматология;Минск;ул.Казимировская, 31;+375 17 392 61 40|+375 29 558 43 78|+375 29 652 48 56;;kd1828@mail.ru;
467;Стоматология;Витебск;ул.19-я Городокская, 15;+375 29 635 4019|+375 33 6-264-280;;klopov_dent@tut.by;
468;Стоматология;Витебск;ул.П.Бровки, д.6, каб.302;+375 29 712-11-75|+375 29 361-59-19;;;
469;"Стоматология ""ЭКСТРАЛАЙТДЕНТ""";Витебск;пр.Фрунзе, д.81;+375 29 797-89-99;;stom-vitebsk@tut.by;
472;"Стоматология ""ВитаСтом""";Витебск;пр.Людникова, 13, пом. №ПР19;+375 212 55-77-60|+375 29 890-31-48;;;
473;"Стоматология ""Дмдент""";Витебск;пр.Фрунзе, 36-17;+375 212 F102 53-88-83|+375-29-519-85-12|+375-29-623-71-50;http://www.dmdent.by/;;
475;"Детская стоматология ""Золотой ключик""";Гродно;ул. Карбышева, 9/1;+375 152 752019|+375 29 868-42-06;;;
488;Гродненская областная станция переливания крови;Гродно;ул. Студенческая, 6;+375 152 58-00-86|+375 152 57-05-92|+375 152 69-00-48;http://donor-grodno.by/;donor@mail.grodno.by;
490;Наркотер;Гродно;пр. Космонавтов, 2/1;+375 152 75 20 16|+375 152 96 51 46|+375 29 285 77 81;http://narkoter.by/;;
492;Городская поликлиника № 5;Гродно;пр.Космонавтов, 60/6;+375 15 275-63-81, +375 15 275-67-95;;gp-5@mail.grodno.by;
496;"Стоматология ""Ювимед""";Гродно;ул. Щорса, 39 (2 этаж);+375 29 580-96-78;;;
497;Амбулатория;Гродно;ул. Григоровича, 15, филиал УЗ ГЦГП № 3;+375 152 94-88-61|+375 152 56-52-47;;;
498;"Стоматология ""Гардент стайл""";Гродно;Индурское шоссе, 6;+375 152 54-36-44;;;
499;Амбулатория;Гродно;ул. Славинского, 5;+375 152 56-39-28;;;
501;Городская поликлиника №3;Гродно;ул.Пестрака, 4;"""Справка"" +375 152 51-34-62|""Регистратура"" +375 152 54-27-45|""Вызов врача на дом"" +375 152 54-04-70";http://3grp.by/;gp-3@mail.grodno.by;
504;Детская поликлиника №2;Гродно;ул. Гагарина, 18;"""Регистратура (справочная)"" +375 (152) 52-48-69, +375 (33) 3102241, +375 (44) 5660723|""Предварительная запись"" +375 152 52-14-13, +375 152 52-02-92, +375 152 52-02-95|""Вызова врача на дом: c 8:00"" +375 152 52-48-58, +375 152 52-34-68";http://2det.by/;dgp-2@mail.grodno.by;
505;Стоматология «АксисДент»;Гродно;ул. Л.Чайкиной, 4;+375 152 55-92-59;;;
506;Педиатрическое отделение Детской поликлиники №2;Гродно;ул. Л.Чайкиной, 45;+375 152 50-31-97|+375 152 50-31-11;;;
508;"Стоматология ""Дент-ТиТЛ""";Гродно;ул. Советских пограничников, 116/1;+375 152 55-33-48;;;
509;"Стоматология ""ДентРеал""";Гродно;ул. Поповича, 4а;+375 152 96-00-90;;;
510;"Стоматология ""Вип Смайл""";Гродно;ул. Калиновского, 50-102;+375 152 46-52-64;;;
511;"Стоматология ""ТамалДент""";Гродно;ул. Калиновского, 58;+375 29 888-77-66;;;
513;Гродненский областной эндокринологический диспансер;Гродно;ул. Болдина, 11;+375 152 48 72 12 (Регистратура);;oed@mail.grodno.ru;
515;Амбулатория городской поликлиники №4;Гродно;бульвар Ленинского Комсомола, 59;+375 152 48-59-02|+375 152 43-45-53;;;
519;Городская поликлиника №4;Гродно;ул. Врублевского, 46/1;"""Справочная"" +375 152 48-36-90|""Приёмная"" +375 152 48-35-52|""Главный врач""  +375 152  43-96-82|""Предварительная запись"" +375 152 48-36-67, +375 152 48-36-74|""Запись на сегодня"" +375 152  41-82-59|""Вызов врача на дом"" +375 44 77-66-027, +375 152 48-73-38";http://4gr.by/;gp-4@mail.grodno.by;
521;"Стоматология ""ЛекоДент""";Гомель;ул.Владимирова, 67;+375 232 42-27-12;;;
523;Гомельская областная детская клиническая больница;Гомель;ул. Жарковского д. 7;+375 232 71-51-88;http://www.godkb.by;godkb73@mail.ru;
524;Гомельская областная инфекционная клиническая больница;Гомель;ул. Федюнинского, 18;"+375 232 51-70-45|+375 232 51-70-54|""Факс"" +375 232 51-70-45";http://uzgoikb.by/;ugoikb@mail.gomel.by;
525;Гомельская областная клиническая больница;Гомель;ул. Братьев Лизюковых, 5;+375 232 40-57-53|+375 232 40-02-31;;;
532;Гомельская городская клиническая больница № 2;Гомель;ул. Медицинская, 7;"+375 232  45-94-97|""Факс"" +375 232 45-94-97";;uzggkb2@list.ru;
533;"Медицинский центр ""Женская клиника""";Гомель;ул. Б. Царикова, д. 44;+375 232 54-57-07|+375 29 373-96-73|+375 33 373-93-73;;gen.klinika@mail.ru;
534;"Стоматология ""Первая стоматология""";Гомель;Речицкое шоссе, 7/А;+375 232 40-58-83;;;
536;"Клиника ""Авалон"", ООО ""СтомСистем""";Гомель;ул.Полесская, 14;+375 44 539-66-66;;stomsistem@gmail.com;
539;Могилевская городская больница скорой медицинской помощи;Могилев;улица Боткина, 2;"""Приемное отделение/стол справок"" +375 222 22-68-80|""Платные услуги"" +375 222 31-15-33, +375 29 151-03-03|""Приемная главного врача"" +375 222 22-53-26|""Приемное отделение роддома"" +375 222 29-17-03|""Т/факс больницы"" +375 222 22-16-26";http://mgbsmp.by/;mgb-smp@tut.by;
540;Могилевская детская поликлиника;Могилев;ул. Лазаренко, 68;+375 222 28-30-00|+375 222 23-74-91;http://mogcp.by/clinic/clinics-for-children/clinic-children;uz_mdp@mogilev.by;
544;"Стоматология ""Мира-Мед""";Могилев;ул. Мира, 59А;+375 222 26-91-22;;;
545;"Стоматология ""Европа""";Могилев;ул. Пионерская, 31;+375 222 704707|+375 29 668-68-46|+375 29 240-60-29;;;
548;Могилевская поликлиника № 11;Могилев;ул.Вишневецкого, 10а;+375 222 22-60-79|+375 222 22-35-60|+375 44 721-31-56|+375 29544-41-29;http://mogcp.by/clinic/clinics-adults/clinic11;uzmp11@mogilev.by;
552;"Стоматология ""Бушмакин""";Минск;ул. Пионерская, 32;+375 29 1555473|+375 29 7705022;http://stomatologiya-bushmakin.com/;sergbush13@gmail.com;
553;"Стоматология ""Элинтаплюс""";Минск;"пр. газеты ""Правда"", 40/1";"+375 17 271-57-85|""Факс"" +375 17 207-42-64 |+375 44 571-85-57|+375 33 377-85-57";;kill2121@mail.ru;
554;"Стоматологический центр ""ДЕНТАБЕЛ""";Минск;ул. Ольшевского, 76а;+375 17 216-89-59;;;
