1;Алеся;д. Завышье;Республика Беларусь, Брестская область, Ивановский р-н, д. Завышье, ул. Завышанская, 3;факс: 8-0165-231-445;https://san-alesia.com/;zakaz@san-alesia.com;;санаторий
2;Белая Вежа;пос. Приозерский;Республика Беларусь, Брестская область, пос. Приозерский;"регистратура: +375(1613)65203; ";https://belayavezha.by/;belayavezha@brest.by;;санаторий
3;Берестье;пос. Берестье;Республика Беларусь, Брестская область, Брестский район, пос. Берестье;регистратура: 8-0162-911-138;https://berestje.com/;zakaz@berestje.com;;Санаторий
4;Буг;д. Ходосы; Республика Беларусь, Брестская область, Жабинковский район, около д. Ходосы;"факс: (8-01641)38-222; реализация путевок и реклама: (8-01641)38-219";https://sunboog.com/;zakaz@sunboog.com;;Санаторий
5;Колос;;Республика Беларусь, Брестская область, Кобринский район, Хидринский сельсовет, 22/5;;http://www.sanatorii.by/?Kolos;;;ДРОЦ
6;Магистральный;Барановичи;Брестская область, г. Барановичи, ул. Гаевая, 61;"тел.: 8 (0163) 49-26-98; 8 (0163) 49-26-11";http://magistralny.by/;info@magistralny.by;;Санаторий
7;Надзея;д. Чижевщина;Брестская область, Жабинковский район, д. Чижевщина;"тел.  8-016-41-68-222; велком: +375-29-322-20-57";http://www.nadzeya.by/;nadzeya@brest.gas.by;;Санаторий
8;Ружанский;д. Заполье;Республика Беларусь, Брестская область, Пружанский район, д. Заполье;"тел.: +375 1632-33-465; велком:  +375 29-1231059; мтс: +375 29-2256033";http://sanruzh.by/;33426@tut.by;;Санаторий
9;Свитанок;г. п. Микашевичи;г.п.Микашевичи Лунинецкого района Брестской области,  ул. Первомайская, 20;;http://www.sanatorii.by/?Svitanok_Brest;;;Санаторий
10;Солнечный;;Брестская область, Брестский район, Мухавецкий с\с,46;"велком: +375 (44) 711-00-99; ";http://solnechny.by/;"asbsolnechny@tut.by; solnechny.by@gmail.com";;Санаторий
11;Чаборок;г. Барановичи;;тел.: +375-163 433-737;;chabarok@atlant.by.;;Санаторий
12;Энергия;Г. Белоозерск;"Республика Беларусь, Брестская область, г. Белоозерск, 
ул. Ленина, 31";"Тел.: +3751643 29220; +3751643 63403";http://sanprof-brest.by;dshved@brestenergo.by;;ОЦ
13;Ясельда;д. Почапово;"Брестская область, Пинский район,
д. Почапово  ул. Санаторная 55А";"тел. Деж. Врач:  +375 165-38-83-06; бронирование путевки: велком +375 44-777-84-88";http://yaselda.by/;yaselda.sanatory@tut.by;;Санаторий
14;Боровое ;д. Будачи;"д. Будачи,
Докшицкий р-н., Витебская область,
Республика Беларусь";"тел. : 8-02157-33463; ";http://www.sanatorium-borovoe.by/;;;Санаторий
15;Железнодорожник;д. малые Летцы;Республика Беларусь, Витебская область, Витебский район, д. Малые Летцы;"тел. (+375 212) 37 88 27; приемная: тел. (+375 212) 37 92 55;";http://www.vitebsk.rw.by/social_sphere/sanatorij_zheleznodorozhnik/;letsy@vtb.rw.by;;Санаторий
16;Железняки;г. п. Руба;Республика Беларусь, Витебская область, Витебский район, Бабиничский с/c, г. п. Руба, д. 14;"тел. : 8 (0212) 69-33-15 (администратор);  ";http://zheleznyaki.by/;291617@mail.ru;;Санаторий
17;Жемчужина;д. Боровка;"д. Боровка,
 Лепельский район,
 Витебская область,
 Республика Беларусь";тел. +375 (2132) 6-48-55;http://www.zhemchuzhina.by;gem.belarus@gmail.com;;ДРОЦ
18;Лепельский военный;д. Боровка;"Республика Беларусь, Витебская обл., Лепельский р-н, 
д. Боровка";"тел.: 8(02132)6-42-02; 6-42-03; 6-42-01";http://lepelsan.by/;lepelsan1@yandex.bу/;;Санаторий
19;Лесное;д. Домашковичи;Беларусь, Витебская область, Докщицкий район, д. Домашковичи, п/о Лесное;"велком: +375(29)136-36-36; мтс: +375(29)527-27-27";http://www.sanlesnoe.by;mail@sanlesnoe.by;;Санаторий
20;Лесные озера;д. Вашково;Республика Беларусь, Витебская область, Ушачский район, д.Вашково д.5а;"тел.: 8-02158-57089; мтс: 8-029-2177890";http://lesnyeozera.com/;lesnye.ozera@mail.ru;;Санаторий
